EPIC_ID,count,mean,std,min,25%,50%,75%,max,logstd,logiqr,fname
202812466,3302.0,1.0058150051820096,0.012070723587154827,0.984364795,0.9952031852500001,1.002239854,1.0177150242500002,1.048966039,-1.9182666950650886,-1.6475890258822141,../control/data/hlsp_k2sff_k2_lightcurve_202812466-c02_kepler_v1_llc-default-aper.txt
202812521,3262.0,1.0015833652369721,0.004336215406827546,0.991652315,0.9976244452499999,1.001189742,1.005617599,1.012803024,-2.362889151821855,-2.0972818332037204,../control/data/hlsp_k2sff_k2_lightcurve_202812521-c02_kepler_v1_llc-default-aper.txt
202813329,3154.0,1.001859587027265,0.0029778196025822376,0.9971586640000001,0.9989619302499999,1.000408242,1.0051667334999999,1.006190146,-2.5261016155079994,-2.2072719851231986,../control/data/hlsp_k2sff_k2_lightcurve_202813329-c02_kepler_v1_llc-default-aper.txt
202813658,3323.0,1.0013991902061385,0.01225668285619916,0.9609197820000001,0.9925050209999999,1.005424355,1.0105799874999999,1.071835967,-1.911627051202175,-1.7429224989506458,../control/data/hlsp_k2sff_k2_lightcurve_202813658-c02_kepler_v1_llc-default-aper.txt
202813737,3340.0,1.0052126450553904,0.02926231447968942,0.89675737,0.9795312115,0.9905808255,1.0356800887500002,1.143597824,-1.5336913266725962,-1.2506589234453462,../control/data/hlsp_k2sff_k2_lightcurve_202813737-c02_kepler_v1_llc-default-aper.txt
202813854,3322.0,1.005688853965082,0.006867493274969103,0.992149818,0.9988520822500001,1.0059208975,1.0119097115,1.022685222,-2.1632017571924735,-1.8841356666371363,../control/data/hlsp_k2sff_k2_lightcurve_202813854-c02_kepler_v1_llc-default-aper.txt
202814365,3337.0,1.0101426406958343,0.020406461612383242,0.9743910090000001,0.990400252,1.001656605,1.031855712,1.039411191,-1.6902322934435414,-1.3824182614536684,../control/data/hlsp_k2sff_k2_lightcurve_202814365-c02_kepler_v1_llc-default-aper.txt
202814475,3328.0,1.0124159883735002,0.040304042957327785,0.944366061,0.9719916275,0.9930710495,1.056355132,1.083514006,-1.394651386960877,-1.0738453877590166,../control/data/hlsp_k2sff_k2_lightcurve_202814475-c02_kepler_v1_llc-default-aper.txt
202814530,3300.0,1.0077821375742422,0.012743671073967655,0.978259007,0.99541812775,1.0058516335,1.0202063575000002,1.132420947,-1.8947054466077677,-1.6057544872401703,../control/data/hlsp_k2sff_k2_lightcurve_202814530-c02_kepler_v1_llc-default-aper.txt
202814533,3304.0,1.00185900383989,0.002872731718378859,0.996582104,0.99948593975,1.0012648855,1.00421023025,1.015790415,-2.541704930453586,-2.3256634051592844,../control/data/hlsp_k2sff_k2_lightcurve_202814533-c02_kepler_v1_llc-default-aper.txt
202814875,3209.0,1.0016502084390768,0.002737715593242681,0.99605341,0.99934948,1.001445373,1.003922645,1.00818854,-2.56261167040978,-2.339783128972085,../control/data/hlsp_k2sff_k2_lightcurve_202814875-c02_kepler_v1_llc-default-aper.txt
202814887,3267.0,1.0051674601460052,0.010823717536784358,0.979503832,0.996052895,1.002257811,1.0143362735,1.032740827,-1.9656235499115928,-1.73794354994057,../control/data/hlsp_k2sff_k2_lightcurve_202814887-c02_kepler_v1_llc-default-aper.txt
202815140,3303.0,1.0048020377741471,0.008825448250886611,0.986122035,0.9973843295,1.003266087,1.011302237,1.104238672,-2.05426322724975,-1.8564260542020523,../control/data/hlsp_k2sff_k2_lightcurve_202815140-c02_kepler_v1_llc-default-aper.txt
202815225,3256.0,1.0031700000261063,0.005347366870164504,0.99262218,0.99833111975,1.0046011154999999,1.00823243875,1.0128449529999999,-2.2718600189626335,-2.0043069471938693,../control/data/hlsp_k2sff_k2_lightcurve_202815225-c02_kepler_v1_llc-default-aper.txt
202815340,3295.0,1.001957595576633,0.0035766273606912956,0.9969499629999999,0.9987203625,0.99933655,1.00581394,1.022727572,-2.4465263054830704,-2.1491346820725505,../control/data/hlsp_k2sff_k2_lightcurve_202815340-c02_kepler_v1_llc-default-aper.txt
