EPIC_ID,count,mean,std,min,25%,50%,75%,max,logstd,logiqr,fname,input_id,id,k2_ra,k2_dec,twomass,ucac,tyc,hip,kp,bmag,vmag,rmag,imag,jmag,hmag,kmag,kepflag
202724025,3263.0,1.0024969232445595,0.016080886182914114,0.961770562,0.9905678045,1.0019508540000002,1.0135235445,1.11175351,-1.7936900218969678,-1.6391087027787448,../data/hlsp_k2sff_k2_lightcurve_202724025-c02_kepler_v1_llc-default-aper.txt,202724025.0,202724025.0,242.237312,-28.599278,16085695-2835573,308-088401,None,,13.01,,,,,10.56,9.895,9.632,JHK
202724532,3270.0,0.995343947616514,0.02586430363075833,0.929058455,0.9736339855,0.997287583,1.01550881025,1.098389548,-1.5872992100208096,-1.378046997513718,../data/hlsp_k2sff_k2_lightcurve_202724532-c02_kepler_v1_llc-default-aper.txt,202724532.0,202724532.0,248.659451,-28.597356,16343826-2835504,308-093004,None,,13.274,,,,,10.742,10.012,9.766,JHK
202760512,3157.0,1.001203264763065,0.002974666564455676,0.993681897,0.998921871,1.001182974,1.003405543,1.011497249,-2.526561708030432,-2.3483661654348493,../data/hlsp_k2sff_k2_lightcurve_202760512-c02_kepler_v1_llc-default-aper.txt,202760512.0,202760512.0,243.857093,-28.464774,16152571-2827530,308-089799,6805-827-1,,10.539,12.893,11.047,10.575,9.853,7.983,7.186,6.935,gri
202766302,3255.0,1.0023812356737336,0.0044834191869250065,0.992634731,0.998805741,1.001964504,1.0061608350000002,1.01252975,-2.3483906539386816,-2.13341177250538,../data/hlsp_k2sff_k2_lightcurve_202766302-c02_kepler_v1_llc-default-aper.txt,202766302.0,202766302.0,247.024404,-28.442891,16280586-2826343,308-091590,None,,11.689,,,,,9.352,8.55,8.358,JHK
202773970,3322.0,1.0037178023226987,0.02801460194002852,0.945475786,0.9822765115,1.0056667755,1.021829853,1.408695808,-1.5526155440505005,-1.4028168210484675,../data/hlsp_k2sff_k2_lightcurve_202773970-c02_kepler_v1_llc-default-aper.txt,202773970.0,202773970.0,247.465322,-28.414448,16295167-2824520,None,None,,14.855,,,,,12.265,11.497,11.177,JHK
202787821,3293.0,1.0071901714287887,0.052108234671653514,0.915655943,0.959286044,1.004696905,1.051083683,1.436812965,-1.283093639658919,-1.0371684885423065,../data/hlsp_k2sff_k2_lightcurve_202787821-c02_kepler_v1_llc-default-aper.txt,202787821.0,202787821.0,246.865242,-28.364009,16272766-2821502,309-088027,None,,13.238,,,,,10.902,10.251,10.017,JHK
202790830,3343.0,1.002340134821417,0.016515390396198117,0.9756884,0.9948213585,1.003656882,1.008813781,1.490308437,-1.7821111558562681,-1.8541070898466827,../data/hlsp_k2sff_k2_lightcurve_202790830-c02_kepler_v1_llc-default-aper.txt,202790830.0,202790830.0,246.888391,-28.352715,16273320-2821097,309-088043,None,,13.711,,,,,11.391,10.771,10.511,JHK
202791563,3348.0,1.0044552841977308,0.024815018192092583,0.956630004,0.98238365875,0.9971178115,1.02832260375,1.154748252,-1.6052854020817082,-1.337818982713903,../data/hlsp_k2sff_k2_lightcurve_202791563-c02_kepler_v1_llc-default-aper.txt,202791563.0,202791563.0,245.587702,-28.350103,16222104-2821003,None,None,,14.455,,,,,12.24,11.686,11.393,JHK
202793212,3349.0,1.0067469724553626,0.03693907704955126,0.92513538,0.978112624,0.99979463,1.040949717,1.096186059,-1.4325139599324441,-1.201783914708792,../data/hlsp_k2sff_k2_lightcurve_202793212-c02_kepler_v1_llc-default-aper.txt,202793212.0,202793212.0,246.459593,-28.343824,16255030-2820377,None,None,,15.224,,,,,12.714,12.022,11.755,JHK
202795175,3351.0,1.0572965835538652,0.08603992658406336,0.870742943,0.9833771295,1.006926205,1.138994969,1.443073681,-1.0652999688581428,-0.8079406184497109,../data/hlsp_k2sff_k2_lightcurve_202795175-c02_kepler_v1_llc-default-aper.txt,202795175.0,202795175.0,245.924456,-28.336861,16234186-2820126,None,None,,15.243,,,,,13.902,13.188,12.737,J
